id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
BBTN,2022-01-31,1725.00,1730,1680,1690,31285100,53147815000
BBTN,2022-01-28,1565.00,1745,1565,1735,56907600,95557285500
BBTN,2022-01-27,1580.00,1610,1555,1555,23243900,36511254500
BBTN,2022-01-26,1560.00,1605,1550,1595,33971900,53863217500
BBTN,2022-01-25,1645.00,1675,1565,1565,46626800,75410107000
BBTN,2022-01-24,1670.00,1690,1630,1660,27160400,45337097000
BBTN,2022-01-21,1680.00,1690,1660,1670,18748800,31324585000
BBTN,2022-01-20,1670.00,1700,1670,1680,14567500,24557254500
BBTN,2022-01-19,1700.00,1705,1665,1680,36032800,60704292500
BBTN,2022-01-18,1700.00,1705,1660,1700,24165400,40709313000
BBTN,2022-01-17,1720.00,1725,1690,1700,9770900,16615007000
BBTN,2022-01-14,1705.00,1730,1690,1720,9284400,15909813000
BBTN,2022-01-13,1720.00,1720,1695,1700,9942400,16906966000
BBTN,2022-01-12,1705.00,1715,1685,1705,15379800,26153485500
BBTN,2022-01-11,1700.00,1710,1695,1700,26808200,45586511500
