id_ticker,dt_trx,open_prc,high_prc,low_prc,close_prc,volume_trx,value_prc
CASS,2022-01-31,368.00,388,368,374,43000,16240600
CASS,2022-01-28,358.00,380,358,366,14600,5346200
CASS,2022-01-27,358.00,370,352,360,7800,2803600
CASS,2022-01-26,398.00,398,362,362,219100,79408000
CASS,2022-01-25,352.00,390,346,358,129000,45411600
CASS,2022-01-24,396.00,400,370,370,74200,27581800
CASS,2022-01-21,400.00,410,392,396,8700,3454400
CASS,2022-01-20,420.00,420,392,398,31500,12692600
CASS,2022-01-19,366.00,430,342,420,486600,169458000
CASS,2022-01-18,394.00,394,366,366,162800,59894200
CASS,2022-01-17,420.00,450,392,392,203300,81652000
CASS,2022-01-14,436.00,440,406,420,22300,9244000
CASS,2022-01-13,434.00,448,404,436,12700,5515400
CASS,2022-01-12,454.00,460,434,434,32600,14276800
CASS,2022-01-11,458.00,458,440,452,16800,7469400
